"","age","I_30250","I_30400","I_30550","I_40250","I_40400","I_40550","I_50250","I_50400","I_50550","interception","Ckat_Tracing","Ckat_aiming","Ckat_Tracking","Open","Closed","Attainment_Maths"
"195",8.862422998,3,4,2,3,4,5,4,5,3,33,1.547221248,1.6188,16.562515,2.347142,3.031789,6
"196",9.979466119,4,3,4,2,6,4,3,4,3,33,0.973729538,1.6148,11.3733515,3.272117,2.061945,8
"197",10.13004791,2,4,3,4,4,2,4,5,4,32,0.977433006,1.3834,8.05663,0.930594,2.32144,9
"198",10.02874743,6,5,2,3,3,3,3,4,5,34,1.387880418,1.4384,10.980762,1.63067,4.113422,8
"199",9.664613279,2,3,3,2,3,3,5,5,3,29,1.273143368,1.6244,21.635251,19.660576,38.247444,6
"200",10.35181383,3,6,2,4,5,3,4,5,4,36,1.04759329,1.3612,8.61409,0.686261,0.582779,10
"201",9.59890486,4,5,2,5,3,4,5,4,3,35,0.9337025,1.506,12.7284815,4.603526,1.734604,10
"202",10.0862423,2,2,5,4,4,5,2,3,3,30,1.081212861,2.0302,11.080138,33.789132,13.53836,9
"203",10.40383299,1,3,1,4,4,2,3,2,1,21,1.134915783,2.2724,25.0850145,0.701149,1.331907,4
"204",10.14373717,3,2,2,0,4,4,4,2,2,23,1.146787241,1.2814,11.534729,7.138361,8.862949,5
"205",10.00410678,5,3,3,5,4,4,6,5,5,40,1.113797445,1.207,12.125038,1.279816,0.953337,8
"206",10.45037645,2,1,2,5,2,4,5,3,0,24,0.83784029,1.7696,15.569767,5.567408,3.878575,8
"207",10.32169747,4,2,2,1,1,4,2,2,4,22,1.378032623,1.5422,12.524827,1.660342,2.990031,7
"208",10.2696783,4,1,4,4,4,4,5,3,4,33,1.024237336,1.296,22.793235,16.394653,4.555997,10
"209",10.35728953,3,4,1,5,4,3,6,4,4,34,1.01436562,2.0244,35.8836545,2.04183,1.946069,8
"210",9.577002053,5,3,3,3,2,4,4,3,4,31,1.05706817,1.4042,21.979235,2.085092,4.091985,7
"211",9.875427789,4,4,2,4,5,3,6,4,4,36,0.997226385,1.4064,10.8290775,3.099395,2.934467,8
"212",10.00684463,3,1,3,4,4,5,4,6,4,34,1.193118196,1.6388,39.8197035,27.657369,14.075525,10
